No.,Time,Source,Destination,Protocol,Length,Info,RTT
63,10.247704353,10.42.0.250,13.211.139.52,HTTP/JSON,63,"POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",0.173254359
77,13.929535577,10.42.0.250,13.211.139.52,HTTP/JSON,63,"POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",0.240806011
85,16.591919282,10.42.0.250,13.211.139.52,HTTP/JSON,63,"POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",0.473996680
93,19.459234610,10.42.0.250,13.211.139.52,HTTP/JSON,63,"POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",0.173679314
101,21.917669170,10.42.0.250,13.211.139.52,HTTP/JSON,63,"POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",0.173842881
109,24.476806547,10.42.0.250,13.211.139.52,HTTP/JSON,63,"POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",0.176103309
117,27.044310109,10.42.0.250,13.211.139.52,HTTP/JSON,63,"POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",0.189294792
128,30.109005724,10.42.0.250,13.211.139.52,HTTP/JSON,63,"POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",0.338002291
141,32.977274552,10.42.0.250,13.211.139.52,HTTP/JSON,63,"POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",0.173062219
150,35.638272156,10.42.0.250,13.211.139.52,HTTP/JSON,121,"POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",0.174641963
168,38.403839760,10.42.0.250,13.211.139.52,HTTP/JSON,121,"POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",0.174309512
182,41.167876985,10.42.0.250,13.211.139.52,HTTP/JSON,121,"POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",0.208821495
194,44.137908383,10.42.0.250,13.211.139.52,HTTP/JSON,121,"POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",0.173991509
202,46.697738953,10.42.0.250,13.211.139.52,HTTP/JSON,121,"POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",0.175822672
213,49.156548684,10.42.0.250,13.211.139.52,HTTP/JSON,121,"POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",0.172462810
222,51.819601420,10.42.0.250,13.211.139.52,HTTP/JSON,121,"POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",0.174947073
230,54.376426747,10.42.0.250,13.211.139.52,HTTP/JSON,121,"POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",0.189060304
238,57.756735114,10.42.0.250,13.211.139.52,HTTP/JSON,121,"POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",0.256060106
246,61.550733356,10.42.0.250,13.211.139.52,HTTP/JSON,121,"POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",0.329294882
254,64.633396272,10.42.0.250,13.211.139.52,HTTP/JSON,171,"POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",0.172013269
267,67.189588300,10.42.0.250,13.211.139.52,HTTP/JSON,171,"POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",0.174940151
276,69.840687670,10.42.0.250,13.211.139.52,HTTP/JSON,171,"POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",0.173424114
284,72.503255925,10.42.0.250,13.211.139.52,HTTP/JSON,171,"POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",0.337677889
294,75.572754885,10.42.0.250,13.211.139.52,HTTP/JSON,171,"POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",0.308068639
302,78.644667197,10.42.0.250,13.211.139.52,HTTP/JSON,171,"POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",0.173536562
312,81.105422480,10.42.0.250,13.211.139.52,HTTP/JSON,171,"POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",0.245744578
328,83.870560951,10.42.0.250,13.211.139.52,HTTP/JSON,171,"POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",0.173915987
343,86.635087515,10.42.0.250,13.211.139.52,HTTP/JSON,171,"POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",0.766814882
354,90.013551391,10.42.0.250,13.211.139.52,HTTP/JSON,171,"POST /data HTTP/1.1 , JavaScript Object Notation (application/json)",0.402881259
